L4 IT,PVALB,SST,Astrocyte,Oligodendrocyte,VIP,IT,L5/6 IT Car3,L6 CT,L6b,Microglia,LAMP5,PAX6,L5/6 NP,OPC,L5 ET,Endothelial,Pericyte,VLMC
1,2251,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,1674,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,1421,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,274,1076,0,0,0,0,0,0,0,0,0
14,0,2,0,0,0,1305,4,0,0,0,0,0,0,0,0,0,0,0
0,7,1252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1171,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1165,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1148,1,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1087,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,1045,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1009,0,0,0,0,0,10,2,0,0,0,0,0,0
0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,949,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,815,0,0,0,0,0
0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0
10,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,694,4,0,0,0,0,0,0
0,0,0,0,0,685,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,668,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
656,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0
120,1,0,0,0,1,505,2,3,1,0,0,0,0,0,1,0,0,0
248,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,187,0,0,0,0,0,6,314,0,0,0,0,0,0
493,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,449,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0
0,370,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0
0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,32,11
0,0,0,0,0,53,0,0,0,0,0,42,4,0,0,0,0,0,0
0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0
